question,filed,choice1,choice2,choice3,choice4,answer,title,url
メモリリークの説明として，適切なものはどれか。,オペレーティングシステム,OSやアプリケーションのバグなどが原因で，動作中に確保した主記憶が解放されないことであり，これが発生すると主記憶中の利用可能な部分が減少する。,アプリケーションの同時実行数を増やした場合に，主記憶容量が不足し，処理時間のほとんどがページングに費やされ，スループットの極端な低下を招くことである。,実行時のプログラム領域の大きさに制限があるときに，必要になったモジュールを主記憶に取り込む手法である。,主記憶で利用可能な空き領域の総量は足りているのに，主記憶中に不連続で散在しているので，大きなプログラムをロードする領域が確保できないことである。,1,基本情報技術者平成29年秋期 午前問16,https://www.fe-siken.com/kakomon/29_aki/q16.html
ソフトウェア制御における，ポーリング制御はどれか。,オペレーティングシステム,CPUが状態レジスタ又はビジー信号などを読み出して，入出力装置の状態を監視する。,実行中の処理を一時的に中断して，緊急度の高い別の処理を実行する。,送信側のタスクがメモリにデータを格納し，受信側のタスクにそのアドレスを伝える。,複数のタスクが利用する共有資源を，一つのタスクが占有できるようにする。,1,基本情報技術者平成29年秋期 午前問17,https://www.fe-siken.com/kakomon/29_aki/q17.html
優先度に基づくプリエンプティブなスケジューリングを行うリアルタイムOSで，二つのタスクA，Bをスケジューリングする。Aの方がBより優先度が高い場合にリアルタイムOSが行う動作のうち，適切なものはどれか。,オペレーティングシステム,Aの実行中にBに起動がかかると，Aを実行可能状態にしてBを実行する。,Aの実行中にBに起動がかかると，Aを待ち状態にしてBを実行する。,Bの実行中にAに起動がかかると，Bを実行可能状態にしてAを実行する。,Bの実行中にAに起動がかかると，Bを待ち状態にしてAを実行する。,3,基本情報技術者平成29年秋期 午前問18,https://www.fe-siken.com/kakomon/29_aki/q18.html
"図のメモリマップで，セグメント2が解放されたとき，セグメントを移動(動的再配置)し，分散する空き領域を集めて一つの連続領域にしたい。1回のメモリアクセスは4バイト単位で行い，読取り，書込みがそれぞれ30ナノ秒とすると，動的再配置をするのに必要なメモリアクセス時間は合計何ミリ秒か。ここで，1kバイトは1,000バイトとし，動的再配置に要する時間以外のオーバヘッドは考慮しないものとする。",オペレーティングシステム,1.5,6.0,7.5,12.0,4,基本情報技術者平成29年秋期 午前問19,https://www.fe-siken.com/kakomon/29_aki/q19.html
ページング方式の仮想記憶において，ページフォールトの発生回数を増加させる要因はどれか。,オペレーティングシステム,主記憶に存在しないページへのアクセスが増加すること,主記憶に存在するページへのアクセスが増加すること,主記憶のページのうち，更新されたページの比率が高くなること,長時間アクセスしなかった主記憶のページをアクセスすること,1,基本情報技術者平成29年秋期 午前問20,https://www.fe-siken.com/kakomon/29_aki/q20.html
コンデンサに蓄えた電荷の有無で情報を記憶するメモリはどれか。,ハードウェア,EEPROM,SDRAM,SRAM,フラッシュメモリ,2,基本情報技術者平成29年秋期 午前問21,https://www.fe-siken.com/kakomon/29_aki/q21.html
アクチュエータの機能として，適切なものはどれか。,ハードウェア,アナログ電気信号を，コンピュータが処理可能なディジタル信号に変える。,キーボード，タッチパネルなどに使用され，コンピュータに情報を入力する。,コンピュータが出力した電気信号を力学的な運動に変える。,物理量を検出して，電気信号に変える。,3,基本情報技術者平成29年秋期 午前問22,https://www.fe-siken.com/kakomon/29_aki/q22.html
"図に示すディジタル回路と等価な論理式はどれか。ここで，論理式中の""・""は論理積，""＋""は論理和，XはXの否定を表す。",ハードウェア,X＝A・B＋A・B,X＝A・B＋A・B,X＝A・B＋A・B,X＝(A＋B)・(A＋B),3,基本情報技術者平成29年秋期 午前問23,https://www.fe-siken.com/kakomon/29_aki/q23.html
次の方式によって求められるチェックディジットを付加した結果はどれか。ここで，データを7394，重み付け定数を1234，基数を11とする。〔方式〕データと重み付け定数の，対応する桁ごとの積を求め，それらの和を求める。和を基数で割って，余りを求める。基数から余りを減じ，その結果の1の位をチェックディジットとしてデータの末尾に付加する。,インタフェース設計,73940,73941,73944,73947,1,基本情報技術者平成29年秋期 午前問24,https://www.fe-siken.com/kakomon/29_aki/q24.html
3次元CGのレンダリングにおける，隠線消去及び隠面消去の説明はどれか。,マルチメディア技術,光源の位置と対象物体への光の当たり具合とを解析し，どのような色・明るさで見えるのかを決定する。,指定された視点から見える部分だけを描くようにする。,生成された画像について，表示する画面に収まる部分だけを表示する。,物体の表面だけでなく物体の内部や背後に隠れた部分の形状も，半透明表示などによって画像として生成する。,2,基本情報技術者平成29年秋期 午前問25,https://www.fe-siken.com/kakomon/29_aki/q25.html
クライアントサーバシステムにおいて，利用頻度の高い命令群をあらかじめサーバ上のDBMSに格納しておくことによって，クライアントサーバ間のネットワーク負荷を軽減する仕組みはどれか。,システムの構成,2相コミットメント,グループコミットメント,サーバプロセスのマルチスレッド化,ストアドプロシージャ,4,基本情報技術者平成29年秋期 午前問26,https://www.fe-siken.com/kakomon/29_aki/q26.html
SQL文においてFOREIGN KEYとREFERENCESを用いて指定する制約はどれか。,データベース設計,キー制約,検査制約,参照制約,表明,3,基本情報技術者平成29年秋期 午前問27,https://www.fe-siken.com/kakomon/29_aki/q27.html
UMLを用いて表した図のデータモデルの解釈のうち，適切なものはどれか。,データベース設計,事業部以外の部門が，部門を管理できる。,社員は事業部に所属できる。,所属する社員がいない部門が存在する。,部門は，いずれかの事業部が管理している。,2,基本情報技術者平成29年秋期 午前問28,https://www.fe-siken.com/kakomon/29_aki/q28.html
RDBMSの機能によって実現されるトランザクションの性質はどれか。,トランザクション処理,ACID特性,関数従属性,候補キーの一意性,データ独立性,1,基本情報技術者平成29年秋期 午前問29,https://www.fe-siken.com/kakomon/29_aki/q29.html
トランザクション処理プログラムが，データベース更新の途中で異常終了した場合，ロールバック処理によってデータベースを復元する。このとき使用する情報はどれか。,トランザクション処理,最新のスナップショット情報,最新のバックアップファイル情報,ログファイルの更新後情報,ログファイルの更新前情報,4,基本情報技術者平成29年秋期 午前問30,https://www.fe-siken.com/kakomon/29_aki/q30.html
符号化速度が192kビット／秒の音声データ2.4Mバイトを，通信速度が128kビット／秒のネットワークを用いてダウンロードしながら途切れることなく再生するためには，再生開始前のデータのバッファリング時間として最低何秒間が必要か。,ネットワーク方式,50,100,150,250,1,基本情報技術者平成29年秋期 午前問31,https://www.fe-siken.com/kakomon/29_aki/q31.html
ネットワーク機器の一つであるスイッチングハブ(レイヤ2スイッチ)の機能として，適切なものはどれか。,データ通信と制御,LANポートに接続された端末に対して，lPアドレスの動的な割当てを行う。,受信したパケットを，宛先MACアドレスが存在するLANポートだけに転送する。,受信したパケットを，全てのLANポートに転送(ブロードキャスト)する。,受信したパケットを，ネットワーク層で分割(フラグメンテーション)する。,2,基本情報技術者平成29年秋期 午前問32,https://www.fe-siken.com/kakomon/29_aki/q32.html
IPv4において，インターネット接続用ルータのNAT機能の説明として，適切なものはどれか。,ネットワーク方式,インターネットへのアクセスをキャッシュしておくことによって，その後に同じIPアドレスのWebサイトへアクセスする場合，表示を高速化できる機能である。,通信中のIPパケットを検査して，インターネットからの攻撃や侵入を検知する機能である。,特定の端末宛てのIPパケットだけを通過させる機能である。,プライベートIPアドレスとグローバルIPアドレスを相互に変換する機能である。,4,基本情報技術者平成29年秋期 午前問33,https://www.fe-siken.com/kakomon/29_aki/q33.html
トランスポート層のプロトコルであり，信頼性よりもリアルタイム性が重視される場合に用いられるものはどれか。,通信プロトコル,HTTP,IP,TCP,UDP,4,基本情報技術者平成29年秋期 午前問34,https://www.fe-siken.com/kakomon/29_aki/q34.html
"次のIPアドレスとサブネットマスクをもつPCがある。このPCのネットワークアドレスとして，適切なものはどれか。
IPアドレス： 10.170.70.19
サブネットマスク：255.255.255.240",通信プロトコル,10.170.70.0,10.170.70.16,10.170.70.31,10.170.70.255,2,基本情報技術者平成29年秋期 午前問35,https://www.fe-siken.com/kakomon/29_aki/q35.html
ボットネットにおいてC&Cサーバが果たす役割はどれか。,情報セキュリティ,遠隔操作が可能なマルウェアに，情報収集及び攻撃活動を指示する。,電子商取引事業者などに，偽のディジタル証明書の発行を命令する。,不正なWebコンテンツのテキスト，画像及びレイアウト情報を一元的に管理する。,踏み台となる複数のサーバからの通信を制御し遮断する。,1,基本情報技術者平成29年秋期 午前問36,https://www.fe-siken.com/kakomon/29_aki/q36.html
DNSキャッシュポイズニングに分類される攻撃内容はどれか。,情報セキュリティ,DNSサーバのソフトウェアのバージョン情報を入手して，DNSサーバのセキュリティホールを特定する。,PCが参照するDNSサーバに偽のドメイン情報を注入して，利用者を偽装されたサーバに誘導する。,攻撃対象のサービスを妨害するために，攻撃者がDNSサーバを踏み台に利用して再帰的な問合せを大量に行う。,内部情報を入手するために，DNSサーバが保存するゾーン情報をまとめて転送させる。,2,基本情報技術者平成29年秋期 午前問37,https://www.fe-siken.com/kakomon/29_aki/q37.html
非常に大きな数の素因数分解が困難なことを利用した公開鍵暗号方式はどれか。,情報セキュリティ,AES,DH,DSA,RSA,4,基本情報技術者平成29年秋期 午前問38,https://www.fe-siken.com/kakomon/29_aki/q38.html
SQLインジェクション攻撃の説明はどれか。,情報セキュリティ,Webアプリケーションに問題があるとき，悪意のある問合せや操作を行う命令文をWebサイトに入力して，データベースのデータを不正に取得したり改ざんしたりする攻撃,悪意のあるスクリプトを埋め込んだWebページを訪問者に閲覧させて，別のWebサイトで，その訪問者が意図しない操作を行わせる攻撃,市販されているDBMSの脆弱性を利用することによって，宿主となるデータベーサーバを探して自己伝染を繰り返し，インターネットのトラフィックを急増させる攻撃,訪問者の入力データをそのまま画面に表示するWebサイトに対して，悪意のあるスクリプトを埋め込んだ入力データを送ることによって，訪問者のブラウザで実行させる攻撃,1,基本情報技術者平成29年秋期 午前問39,https://www.fe-siken.com/kakomon/29_aki/q39.html
ディジタル署名における署名鍵の使い方と，ディジタル署名を行う目的のうち，適切なものはどれか。,情報セキュリティ,受信者が署名鍵を使って，暗号文を元のメッセージに戻すことができるようにする。,送信者が固定文字列を付加したメッセージを署名鍵を使って暗号化することによって，受信者がメッセージの改ざん部位を特定できるようにする。,送信者が署名鍵を使って署名を作成し，それをメッセージに付加することによって，受信者が送信者を確認できるようにする。,送信者が署名鍵を使ってメッセージを暗号化することによって，メッセージの内容を関係者以外に分からないようにする。,3,基本情報技術者平成29年秋期 午前問40,https://www.fe-siken.com/kakomon/29_aki/q40.html
マルウェアについて，トロイの木馬とワームを比較したとき，ワームの特徴はどれか。,情報セキュリティ,勝手にファイルを暗号化して正常に読めなくする。,単独のプログラムとして不正な動作を行う。,特定の条件になるまで活動をせずに待機する。,ネットワークやリムーバブルメディアを媒介として自ら感染を広げる。,4,基本情報技術者平成29年秋期 午前問41,https://www.fe-siken.com/kakomon/29_aki/q41.html
CSIRTの説明として，適切なものはどれか。,情報セキュリティ管理,IPアドレスの割当て方針の決定，DNSルートサーバの運用監視，DNS管理に関する調整などを世界規模で行う組織である。,インターネットに関する技術文書を作成し，標準化のための検討を行う組織である。,企業内・組織内や政府機関に設置され，情報セキュリティインシデントに関する報告を受け取り，調査し，対応活動を行う組織の総称である。,情報技術を利用し，宗教的又は政治的な目標を達成するという目的をもつ者や組織の総称である。,3,基本情報技術者平成29年秋期 午前問42,https://www.fe-siken.com/kakomon/29_aki/q42.html
リスクアセスメントを構成するプロセスの組合せはどれか。,情報セキュリティ管理,リスク特定，リスク評価，リスク受容,リスク特定，リスク分析，リスク評価,リスク分析，リスク対応，リスク受容,リスク分析，リスク評価，リスク対応,2,基本情報技術者平成29年秋期 午前問43,https://www.fe-siken.com/kakomon/29_aki/q43.html
図のように，クライアント上のアプリケーションがデータベース接続プログラム経由でサーバ上のデータベースのデータにアクセスする。アプリケーションとデータベースとの間で送受信されるコマンドや実行結果の漏えいを防止する対策はどれか。,セキュリティ実装技術,サーバ側のデータベース接続プログラムにアクセスできるクライアントのIPアドレスを必要なものだけに制限する。,サーバ側のデータベース接続プログラムを起動・停止するときに必要なパスワードを設定する。,データベース接続プログラムが通信に使用するポート番号をデータベース管理システムでの初期値から変更する。,データベース接続プログラム間の通信を暗号化する。,4,基本情報技術者平成29年秋期 午前問44,https://www.fe-siken.com/kakomon/29_aki/q44.html
コンピュータやネットワークのセキュリティ上の脆弱性を発見するために，システムを実際に攻撃して侵入を試みる手法はどれか。,セキュリティ技術評価,ウォークスルー,ソフトウェアインスペクション,ペネトレーションテスト,リグレッションテスト,3,基本情報技術者平成29年秋期 午前問45,https://www.fe-siken.com/kakomon/29_aki/q45.html
UML2.0において，オブジェクト間の相互作用を時系列に表す図はどれか。,ソフトウェア要件定義,アクティビティ図,コンポーネント図,シーケンス図,状態遷移図,3,基本情報技術者平成29年秋期 午前問46,https://www.fe-siken.com/kakomon/29_aki/q46.html
オブジェクト指向分析を用いてモデリングしたとき，クラスとオブジェクトの関係になる組みはどれか。,ソフトウェア方式設計・詳細設計,公園，ぶらんこ,公園，代々木公園,鉄棒，ぶらんこ,中之島公園，代々木公園,2,基本情報技術者平成29年秋期 午前問47,https://www.fe-siken.com/kakomon/29_aki/q47.html
モジュール分割を行うときの方法として，モジュール結合度を最も弱くできるものはどれか。,ソフトウェア方式設計・詳細設計,一つのモジュールで，できるだけ多くの機能を実現する。,二つのモジュール間で必要なデータ項目だけを引数として渡す。,他のモジュールとデータ項目を共有するためにグローバルな領域を使用する。,他のモジュールを呼び出すときに，呼び出されたモジュールの論理を制御するための引数を渡す。,2,基本情報技術者平成29年秋期 午前問48,https://www.fe-siken.com/kakomon/29_aki/q48.html
ブラックボックステストに関する記述として，適切なものはどれか。,ソフトウェア構築,テストデータの作成基準として，命令や分岐の網羅率を使用する。,被テストプログラムに冗長なコードがあっても検出できない。,プログラムの内部構造に着目し，必要な部分が実行されたかどうかを検証する。,分岐命令やモジュールの数が増えると，テストデータが急増する。,2,基本情報技術者平成29年秋期 午前問49,https://www.fe-siken.com/kakomon/29_aki/q49.html
ソフトウェアのリバースエンジニアリングの説明はどれか。,開発プロセス・手法,開発支援ツールなどを用いて，設計情報からソースコードを自動生成する。,外部から見たときの振る舞いを変えずに，ソフトウェアの内部構造を変える。,既存のソフトウェアを解析し，その仕様や構造を明らかにする。,既存のソフトウェアを分析し理解した上で，ソフトウェア全体を新しく構築し直す。,3,基本情報技術者平成29年秋期 午前問50,https://www.fe-siken.com/kakomon/29_aki/q50.html
ファンクションポイント法の説明はどれか。,プロジェクトのコスト,開発するプログラムごとのステップ数を積算し，開発規模を見積もる。,開発プロジェクトで必要な作業のWBSを作成し，各作業の工数を見積もる。,外部入出力や内部論理ファイル，外部照会，外部インタフェースなどの個数や特性などから開発規模を見積もる。,過去の類似例を探し，その実績や開発するシステムとの差異などを分析・評価して開発規模を見積もる。,3,基本情報技術者平成29年秋期 午前問51,https://www.fe-siken.com/kakomon/29_aki/q51.html
"全部で100画面から構成されるシステムの画面を作成する。100画面を規模と複雑さで分類したときの内訳は次のとおりである。規模が""小""で，複雑度が""単純""である画面：30規模が""中""で，複雑度が""普通""である画面：40規模が""大""で，複雑度が""普通""である画面：20規模が""大""で，複雑度が""複雑""である画面：10全ての画面を作成する総工数を，表の作成工数を用いて見積もると何人日になるか。ここで，全部の画面のレビューと修正に5人日を要し，作業の管理にはレビューと修正の工数を含めた作業工数の20%を要するものとする。",プロジェクトのコスト,80,85,101,102,4,基本情報技術者平成29年秋期 午前問52,https://www.fe-siken.com/kakomon/29_aki/q52.html
図に示すプロジェクト活動のクリティカルパスはどれか。,プロジェクトの時間,A→B→E→I→L,A→C→D→E→H→K,A→C→F→I→L,A→C→G→J→L,4,基本情報技術者平成29年秋期 午前問53,https://www.fe-siken.com/kakomon/29_aki/q53.html
プロジェクトで発生した課題の傾向を分析するために，ステークホルダ，コスト，スケジュール，品質などの管理項目別の課題件数を棒グラフとして件数が多い順に並べ，この順で累積した課題件数を折れ線グラフとして重ね合わせた図を作成した。この図はどれか。,プロジェクトの品質,管理図,散布図,特性要因図,パレート図,4,基本情報技術者平成29年秋期 午前問54,https://www.fe-siken.com/kakomon/29_aki/q54.html
サービスマネジメントにおいて，サービスレベル管理の要求事項はどれか。,サービスマネジメントプロセス,サービス継続及び可用性に対するリスクを評価し，文書化する。,提供するサービスのサービスカタログとSLAを作成し，顧客と合意する。,人，技術，情報及び財務に関する資源を考慮して，容量・能力の計画を作成，実施及び維持する。,予算に照らして費用を監視及び報告し，財務予測をレビューし，費用を管理する。,2,基本情報技術者平成29年秋期 午前問55,https://www.fe-siken.com/kakomon/29_aki/q55.html
新規システムにおけるデータのバックアップ方法に関する記述のうち，最も適切なものはどれか。,サービスの運用,業務処理がバックアップ処理と重なると応答時間が長くなる可能性がある場合には，両方の処理が重ならないようにスケジュールを立てる。,バックアップ処理時間を短くするためには，バックアップデータをバックアップ元データと同一の記憶媒体内に置く。,バックアップデータからの復旧時間を短くするためには，差分バックアップを採用する。,バックアップデータを長期間保存するためには，ランダムアクセスが可能な媒体を使用する。,1,基本情報技術者平成29年秋期 午前問56,https://www.fe-siken.com/kakomon/29_aki/q56.html
落雷によって発生する過電圧の被害から情報システムを守るための手段として，有効なものはどれか。,ファシリティマネジメント,サージ保護デバイス(SPD)を介して通信ケーブルとコンピュータを接続する。,自家発電装置を設置する。,通信線を，経路の異なる2系統とする。,電源設備の制御回路をディジタル化する。,1,基本情報技術者平成29年秋期 午前問57,https://www.fe-siken.com/kakomon/29_aki/q57.html
システム運用業務のオペレーション管理に関する監査で判明した状況のうち，指摘事項として監査報告書に記載すべきものはどれか。,システム監査,運用責任者が，オペレータの作成したオペレーション記録を確認している。,運用責任者が，期間を定めてオペレーション記録を保管している。,オペレータが，オペレーション中に起きた例外処理を記録している。,オペレータが，日次の運用計画を決定し，自ら承認している。,4,基本情報技術者平成29年秋期 午前問58,https://www.fe-siken.com/kakomon/29_aki/q58.html
システム監査人が実施するヒアリングに関する記述のうち，適切なものはどれか。,システム監査,監査業務を経験したことのある被監査部門の管理者をヒアリングの対象者として選ぶ。,ヒアリングで被監査部門から得た情報を裏付けるための文書や記録を入手するよう努める。,ヒアリングの中で気が付いた不備事項について，その場で被監査部門に改善を指示する。,複数人でヒアリングを行うと記録内容に相違が出ることがあるので，1人のシステム監査人が行う。,2,基本情報技術者平成29年秋期 午前問59,https://www.fe-siken.com/kakomon/29_aki/q59.html
監査調書の説明はどれか。,システム監査,監査人が行った監査手続の実施記録であり，監査意見の根拠となる。,監査人が監査実施に当たり被監査部門に対して提出する，監査人自身のセキュリティ誓約書をまとめたものである。,監査人が監査の実施に利用した基準書，ガイドラインをまとめたものである。,監査人が正当な注意義務を払ったことを証明するために，監査報告書とともに公表するよう義務付けられたものである。,1,基本情報技術者平成29年秋期 午前問60,https://www.fe-siken.com/kakomon/29_aki/q60.html
"ある営業部員の1日の業務活動を分析した結果は，表のとおりである。営業支援システムの導入によって訪問準備時間が1件あたり0.1時間短縮できる。総業務時間と1件当たりの顧客訪問時間を変えずに，1日の顧客訪問件数を6件にするには，""その他業務時間""を何時間削減する必要があるか。",OR・IE,0.3,0.5,0.7,1.0,3,基本情報技術者平成29年秋期 午前問61,https://www.fe-siken.com/kakomon/29_aki/q61.html
SOAを説明したものはどれか。,ソリューションビジネス,企業改革において既存の組織やビジネスルールを抜本的に見直し，業務フロー，管理機構，情報システムを再構築する手法のこと,企業の経営資源を有効に活用して経営の効率を向上させるために，基幹業務を部門ごとでなく統合的に管理するための業務システムのこと,発注者とITアウトソーシングサービス提供者との間で，サービスの品質について合意した文書のこと,ビジネスプロセスの構成要素とそれを支援するIT基盤を，ソフトウェア部品であるサービスとして提供するシステムアーキテクチャのこと,4,基本情報技術者平成29年秋期 午前問62,https://www.fe-siken.com/kakomon/29_aki/q62.html
ビッグデータを企業が活用している事例はどれか。,OR・IE,カスタマセンタへの問合せに対し，登録済みの顧客情報から連絡先を抽出する。,最重要な取引先が公表している財務諸表から，売上利益率を計算する。,社内研修の対象者リスト作成で，人事情報から入社10年目の社員を抽出する。,多種多様なソーシャルメディアの大量な書込みを分析し，商品の改善を行う。,4,基本情報技術者平成29年秋期 午前問63,https://www.fe-siken.com/kakomon/29_aki/q63.html
グリーン調達の説明はどれか。,調達計画・実施,環境保全活動を実施している企業がその活動内容を広くアピールし，投資家から環境保全のための資金を募ることである。,第三者が一定の基準に基づいて環境保全に資する製品を認定する，エコマークなどの環境表示に関する国際規格のことである。,太陽光，バイオマス，風力，地熱などの自然エネルギーによって発電されたグリーン電力を，市場で取引可能にする証書のことである。,品質や価格の要件を満たすだけでなく，環境負荷の小さい製品やサービスを，環境負荷の低減に努める事業者から優先して購入することである。,4,基本情報技術者平成29年秋期 午前問64,https://www.fe-siken.com/kakomon/29_aki/q64.html
BI(Business Intelligence)を説明したものはどれか。,システム活用促進・評価,企業内外のデータを蓄積し，分類・加工・分析して活用することによって，企業の意思決定の迅速化を支援する手法,企業内の慣行などにとらわれず，業務プロセスを抜本的に再構築することによって，コスト・品質・サービスなどを改善する手法,企業内の業務の流れを可視化し，業務改善サイクルを適用することによって，継続的な業務改善を図る手法,企業内の異なるシステムを互いに連結し，データやプロセスの統合を図ることによって，システムを全体として効率よく活用する手法,1,基本情報技術者平成29年秋期 午前問65,https://www.fe-siken.com/kakomon/29_aki/q65.html
SWOT分析において，一般に脅威として位置付けられるものはどれか。,経営戦略手法,競合他社に比べて高い生産効率,事業ドメインの高い成長率,市場への強力な企業の参入,低いマーケットシェア,3,基本情報技術者平成29年秋期 午前問67,https://www.fe-siken.com/kakomon/29_aki/q67.html
企業の競争戦略におけるリーダ戦略はどれか。,経営戦略手法,市場シェアを奪うことを目標に，製品，サービス，販売促進，流通チャネルなどのあらゆる面での差別化戦略を取る。,潜在的な需要がありながら，他の企業が参入してこないような専門特化した市場に，限られた経営資源を集中する。,目標とする企業の戦略を観察し，迅速に模倣することによって，開発や広告のコストを抑制し，市場での存続を図る。,利潤，好評判の維持・向上と最適市場シェアの確保を目標として，市場内の全ての顧客をターゲットにした全方位戦略を取る。,4,基本情報技術者平成29年秋期 午前問68,https://www.fe-siken.com/kakomon/29_aki/q68.html
