question,filed,choice1,choice2,choice3,choice4,answer,title,url
メモリのエラー検出及び訂正にECCを利用している。データバス幅 2nビットに対して冗長ビットがn＋2ビット必要なとき，128ビットのデータバス幅に必要な冗長ビットは何ビットか。,メモリ,7,8,9,10,3,基本情報技術者平成30年秋期 午前問11,https://www.fe-siken.com/kakomon/30_aki/q11.html
USB3.0の説明として，適切なものはどれか。,入出力デバイス,1クロックで2ビットの情報を伝送する4対の信号線を使用し，最大1Gビット／秒のスループットをもつインタフェースである。,PCと周辺機器とを接続するATA仕様をシリアル化したものである。,音声，映像などに適したアイソクロナス転送を採用しており，ブロードキャスト転送モードをもつシリアルインタフェースである。,スーパースピードと呼ばれる5Gビット／秒のデータ転送モードをもつシリアルインタフェースである。,4,基本情報技術者平成30年秋期 午前問12,https://www.fe-siken.com/kakomon/30_aki/q12.html
Webシステムにおいて，Webサーバとアプリケーション(AP)サーバを異なる物理サーバに配置する場合のメリットとして，適切なものはどれか。,システムの構成,Webサーバにクライアントの実行環境が実装されているので，リクエストのたびにクライアントとAPサーバの間で画面データをやり取りする必要がなく，データ通信量が少なくて済む。,Webブラウザの文字コード体系とAPサーバの文字コード体系の違いをWebサーバが吸収するので，文字化けが発生しない。,データへのアクセスを伴う業務ロジックは，Webサーバのプログラムに配置されているので，業務ロジックの変更に伴って，APサーバのプログラムを変更する必要がない。,負荷が軽い静的コンテンツへのリクエストはWebサーバで処理し，負荷が重い動的コンテンツへのリクエストはAPサーバで処理するように，クライアントからのリクエストの種類に応じて処理を分担できる。,4,基本情報技術者平成30年秋期 午前問13,https://www.fe-siken.com/kakomon/30_aki/q13.html
稼働状況が継続的に監視されているシステムがある。稼働して数年後に新規業務をシステムに適用する場合に実施する，キャパシティプランニングの作業項目の順序として，適切なものはどれか。〔キャパシティプランニングの作業項目〕システム構成の案について，適正なものかどうかを評価し，必要があれば見直しを行う。システム特性に合わせて，サーバの台数，並列分散処理の実施の有無など，必要なシステム構成の案を検討する。システムの稼働状況から，ハードウェアの性能情報やシステム固有の環境を把握する。利用者などに新規業務をヒアリングし，想定される処理件数や処理に要する時間といったシステムに求められる要件を把握する。,システムの評価指標,�B，�A，�C，�@,�B，�C，�A，�@,�C，�A，�@，�B,�C，�B，�@，�A,2,基本情報技術者平成30年秋期 午前問14,https://www.fe-siken.com/kakomon/30_aki/q14.html
東京と福岡を結ぶ実線の回線がある。東京と福岡の間の信頼性を向上させるために，大阪を経由する破線の迂回回線を追加した。迂回回線追加後における，東京と福岡の間の稼働率は幾らか。ここで，回線の稼働率は，東京と福岡，東京と大阪，大阪と福岡の全てが0.9とする。,システムの評価指標,0.729,0.810,0.981,0.999,3,基本情報技術者平成30年秋期 午前問15,https://www.fe-siken.com/kakomon/30_aki/q15.html
三つのタスクの優先度と，各タスクを単独で実行した場合のCPUと入出力装置(I/O)の動作順序と処理時間は，表のとおりである。優先度方式のタスクスケジューリングを行うOSの下で，三つのタスクが同時に実行可能状態になってから，全てのタスクの実行が終了するまでの，CPUの遊休時間は何ミリ秒か。ここで，CPUは1個であり，1CPUは1コアで構成され，I/Oは競合せず，OSのオーバヘッドは考慮しないものとする。また，表の（ ）内の数字は処理時間を示すものとする。,オペレーティングシステム,2,3,4,5,2,基本情報技術者平成30年秋期 午前問16,https://www.fe-siken.com/kakomon/30_aki/q16.html
スプーリング機能の説明として，適切なものはどれか。,オペレーティングシステム,あるタスクを実行しているときに，入出力命令の実行によってCPUが遊休(アイドル)状態になると，ほかのタスクにCPUを割り当てる。,実行中のプログラムを一時中断して，制御プログラムに制御を移す。,主記憶装置と低速の入出力装置との間のデータ転送を，補助記憶装置を介して行うことによって，システム全体の処理能力を高める。,多数のバッファからなるバッファプールを用意し，主記憶にあるバッファにアクセスする確率を上げることによって，補助記憶装置のアクセス時間を短縮する。,3,基本情報技術者平成30年秋期 午前問17,https://www.fe-siken.com/kakomon/30_aki/q17.html
スケジューリングに関する記述のうち，ラウンドロビン方式の説明として，適切なものはどれか。,オペレーティングシステム,各タスクに，均等にCPU時間を割り当てて実行させる方式である。,各タスクに，ターンアラウンドタイムに比例したCPU時間を割り当てて実行させる方式である。,各タスクの実行イベント発生に応じて，リアルタイムに実行させる方式である。,各タスクを，優先度の高い順に実行させる方式である。,1,基本情報技術者平成30年秋期 午前問18,https://www.fe-siken.com/kakomon/30_aki/q18.html
手続型言語のコンパイラが行う処理のうち，最初に行う処理はどれか。,開発ツール,意味解析,構文解析,最適化,字句解析,4,基本情報技術者平成30年秋期 午前問19,https://www.fe-siken.com/kakomon/30_aki/q19.html
リンカの機能として，適切なものはどれか。,開発ツール,作成したプログラムをライブラリに登録する。,実行に先立ってロードモジュールを主記憶にロードする。,相互参照の解決などを行い，複数の目的モジュールなどから一つのロードモジュールを生成する。,プログラムの実行を監視し，ステップごとに実行結果を記録する。,3,基本情報技術者平成30年秋期 午前問20,https://www.fe-siken.com/kakomon/30_aki/q20.html
DRAMの説明として，適切なものはどれか。,メモリ,1バイト単位でデータの消去及び書込みが可能な不揮発性のメモリであり，電源遮断時もデータ保持が必要な用途に用いられる。,不揮発性のメモリでNAND型又はNOR型があり，SSDに用いられる。,メモリセルはフリップフロップで構成され，キャッシュメモリに用いられる。,リフレッシュ動作が必要なメモリであり，PCの主記憶として用いられる。,4,基本情報技術者平成30年秋期 午前問21,https://www.fe-siken.com/kakomon/30_aki/q21.html
二次電池(充電式電池)はどれか。,ハードウェア,アルカリマンガン乾電池,酸化銀電池,燃料電池,リチウムイオン電池,4,基本情報技術者平成30年秋期 午前問23,https://www.fe-siken.com/kakomon/30_aki/q23.html
"列車の予約システムにおいて，人間とコンピュータが音声だけで次のようなやり取りを行う。この場合に用いられるインタフェースの種類はどれか。〔凡例〕P：人間C：コンピュータP
""5月28日の名古屋駅から東京駅までをお願いします。""C
""ご乗車人数をどうぞ。""P
""大人2名でお願いします。""C
""ご希望の発車時刻をどうぞ。""P
""午前9時頃を希望します。""C
""午前9時3分発，午前10時43分着の列車ではいかがでしょうか。""P
""それでお願いします。""C
""確認します。大人2名で，5月28日の名古屋駅午前9時3分発，東京駅午前10時43分着の列車でよろしいでしょうか。""P
""はい。""",ヒューマンインタフェース技術,感性インタフェース,自然言語インタフェース,ノンバーバルインタフェース,マルチモーダルインタフェース,2,基本情報技術者平成30年秋期 午前問24,https://www.fe-siken.com/kakomon/30_aki/q24.html
液晶ディスプレイなどの表示装置において，傾いた直線を滑らかに表示する手法はどれか。,マルチメディア技術,アンチエイリアシング,シェーディング,テクスチャマッピング,バンプマッピング,1,基本情報技術者平成30年秋期 午前問25,https://www.fe-siken.com/kakomon/30_aki/q25.html
"データ項目の命名規約を設ける場合，次の命名規約だけでは回避できない事象はどれか。〔命名規約〕データ項目名の末尾には必ず""名""，""コード""，""数""，""金額""，""年月日""などの区分語を付与し，区分語ごとに定めたデータ型にする。データ項目名と意味を登録した辞書を作成し，異音同義語や同音異義語が発生しないようにする。",データベース設計,"データ項目""受信年月日""のデータ型として，日付型と文字列型が混在する。","データ項目""受注金額""の取り得る値の範囲がテーブルによって異なる。","データ項目""賞与金額""と同じ意味で""ボーナス金額""というデータ項目がある。","データ項目""取引先""が，""取引先コード""か""取引先名""か，判別できない。",2,基本情報技術者平成30年秋期 午前問27,https://www.fe-siken.com/kakomon/30_aki/q27.html
関係XとYを自然結合した後，関係Zを得る関係代数演算はどれか。,データ操作,射影と和,選択,選択と射影,選択と和,3,基本情報技術者平成30年秋期 午前問28,https://www.fe-siken.com/kakomon/30_aki/q28.html
ロックの粒度に関する説明のうち，適切なものはどれか。,トランザクション処理,データを更新するときに，粒度を大きくすると，他のトランザクションの待ちが多くなり，全体のスループットが低下する。,同一のデータを更新するトランザクション数が多いときに，粒度を大きくすると，同時実行できるトランザクション数が増える。,表の全データを参照するときに，粒度を大きくすると，他のトランザクションのデータ参照を妨げないようにできる。,粒度を大きくすると，含まれるデータ数が多くなるので，一つのトランザクションでかけるロックの個数が多くなる。,1,基本情報技術者平成30年秋期 午前問29,https://www.fe-siken.com/kakomon/30_aki/q29.html
データベースが格納されている記憶媒体に故障が発生した場合，バックアップファイルとログを用いてデータベースを回復する操作はどれか。,トランザクション処理,アーカイブ ,コミット,チェックポイントダンプ ,ロールフォワード,4,基本情報技術者平成30年秋期 午前問30,https://www.fe-siken.com/kakomon/30_aki/q30.html
1.5Mビット／秒の伝送路を用いて12Mバイトのデータを転送するために必要な伝送時間は何秒か。ここで，伝送路の伝送効率を50%とする。,ネットワーク方式,16,32,64,128,4,基本情報技術者平成30年秋期 午前問31,https://www.fe-siken.com/kakomon/30_aki/q31.html
LAN間接続装置に関する記述のうち，適切なものはどれか。,データ通信と制御,ゲートウェイは，OSI基本参照モデルにおける第1〜3層だけのプロトコルを変換する。,ブリッジは，IPアドレスを基にしてフレームを中継する。,リピータは，同種のセグメント間で信号を増幅することによって伝送距離を延長する。,ルータは，MACアドレスを基にしてフレームを中継する。,3,基本情報技術者平成30年秋期 午前問32,https://www.fe-siken.com/kakomon/30_aki/q32.html
TCP/IPネットワークでDNSが果たす役割はどれか。,通信プロトコル,PCやプリンタなどからのIPアドレス付与の要求に対して，サーバに登録してあるIPアドレスの中から使用されていないIPアドレスを割り当てる。,サーバにあるプログラムを，サーバのIPアドレスを意識することなく，プログラム名の指定だけで呼び出すようにする。,社内のプライベートIPアドレスをグローバルIPアドレスに変換し，インターネットへのアクセスを可能にする。,ドメイン名やホスト名などとIPアドレスとを対応付ける。,4,基本情報技術者平成30年秋期 午前問33,https://www.fe-siken.com/kakomon/30_aki/q33.html
インターネットにおける電子メールの規約で，ヘッダフィールドの拡張を行い，テキストだけでなく，音声，画像なども扱えるようにしたものはどれか。,ネットワーク応用,HTML,MHS,MIME,SMTP,3,基本情報技術者平成30年秋期 午前問34,https://www.fe-siken.com/kakomon/30_aki/q34.html
携帯電話網で使用される通信規格の名称であり，次の三つの特徴をもつものはどれか。全ての通信をパケット交換方式で処理する。複数のアンテナを使用するMIMOと呼ばれる通信方式が利用可能である。国際標準化プロジェクト3GPP(3rd Generation Partnership Project)で標準化されている。,ネットワーク方式,LTE(Long Term Evolution),MAC(Media Access Control),MDM(Mobile Device Management),VoIP(Voice over Internet Protocol),1,基本情報技術者平成30年秋期 午前問35,https://www.fe-siken.com/kakomon/30_aki/q35.html
アプリケーションソフトウェアにディジタル署名を施す目的はどれか。,情報セキュリティ,アプリケーションソフトウェアの改ざんを利用者が検知できるようにする。,アプリケーションソフトウェアの使用を特定の利用者に制限する。,アプリケーションソフトウェアの著作権が作成者にあることを証明する。,アプリケーションソフトウェアの利用者による修正や改変を不可能にする。,1,基本情報技術者平成30年秋期 午前問36,https://www.fe-siken.com/kakomon/30_aki/q36.html
AES-256で暗号化されていることが分かっている暗号文が与えられているとき，ブルートフォース攻撃で鍵と解読した平文を得るまでに必要な試行回数の最大値はどれか。,情報セキュリティ,256,2128,2255,2256,4,基本情報技術者平成30年秋期 午前問37,https://www.fe-siken.com/kakomon/30_aki/q37.html
共通鍵暗号方式の特徴はどれか。,情報セキュリティ,暗号化通信に使用する場合，鍵を相手と共有する必要があり，事前に平文で送付することが推奨されている。,暗号化通信をする相手が1人の場合，使用する鍵の個数は公開鍵暗号方式よりも多い。,同じ程度の暗号強度をもつ鍵長を選んだ場合，公開鍵暗号方式と比較して，暗号化や復号に必要な時間が短い。,鍵のペアを生成し，一方の鍵で文書を暗号化すると，他方の鍵でだけ復号することができる。,3,基本情報技術者平成30年秋期 午前問38,https://www.fe-siken.com/kakomon/30_aki/q38.html
組織的なインシデント対応体制の構築や運用を支援する目的でJPCERT/CCが作成したものはどれか。,情報セキュリティ管理,CSIRTマテリアル,ISMSユーザーズガイド,証拠保全ガイドライン,組織における内部不正防止ガイドライン,1,基本情報技術者平成30年秋期 午前問40,https://www.fe-siken.com/kakomon/30_aki/q40.html
ボットネットにおけるC&Cサーバの役割として，適切なものはどれか。,情報セキュリティ,Webサイトのコンテンツをキャッシュし，本来のサーバに代わってコンテンツを利用者に配信することによって，ネットワークやサーバの負荷を軽減する。,外部からインターネットを経由して社内ネットワークにアクセスする際に，CHAPなどのプロトコルを用いることによって，利用者認証時のパスワードの盗聴を防止する。,外部からインターネットを経由して社内ネットワークにアクセスする際に，チャレンジレスポンス方式を採用したワンタイムパスワードを用いることによって，利用者認証時のパスワードの盗聴を防止する。,侵入して乗っ取ったコンピュータに対して，他のコンピュータへの攻撃などの不正な操作をするよう，外部から命令を出したり応答を受け取ったりする。,4,基本情報技術者平成30年秋期 午前問41,https://www.fe-siken.com/kakomon/30_aki/q41.html
IDSの機能はどれか。,情報セキュリティ対策,PCにインストールされているソフトウェア製品が最新のバージョンであるかどうかを確認する。,検査対象の製品にテストデータを送り，製品の応答や挙動から脆(ぜい)弱性を検出する。,サーバやネットワークを監視し，侵入や侵害を検知した場合に管理者へ通知する。,情報システムの運用管理状況などの情報セキュリティ対策状況と企業情報を入力し，組織の情報セキュリティへの取組み状況を自己診断する。,3,基本情報技術者平成30年秋期 午前問42,https://www.fe-siken.com/kakomon/30_aki/q42.html
セキュアブートの説明はどれか。,情報セキュリティ対策,BIOSにパスワードを設定し，PC起動時にBIOSのパスワード入力を要求することによって，OSの不正な起動を防ぐ技術,HDDにパスワードを設定し，PC起動時にHDDのパスワード入力を要求することによって，OSの不正な起動を防ぐ技術,PCの起動時にOSやドライバのディジタル署名を検証し，許可されていないものを実行しないようにすることによって，OS起動前のマルウェアの実行を防ぐ技術,マルウェア対策ソフトをスタートアッププログラムに登録し，OS起動時に自動的にマルウェアスキャンを行うことによって，マルウェアの被害を防ぐ技術,3,基本情報技術者平成30年秋期 午前問43,https://www.fe-siken.com/kakomon/30_aki/q43.html
UML2.0のシーケンス図とコミュニケーション図のどちらにも表現されるものはどれか。,ソフトウェア要件定義,イベントとオブジェクトの状態,オブジェクトがある状態にとどまる最短時間及び最長時間,オブジェクトがメッセージを処理している期間,オブジェクト間で送受信されるメッセージ,4,基本情報技術者平成30年秋期 午前問46,https://www.fe-siken.com/kakomon/30_aki/q46.html
オブジェクト指向におけるクラスとインスタンスとの関係のうち，適切なものはどれか。,ソフトウェア方式設計・詳細設計,インスタンスはクラスの仕様を定義したものである。,クラスの定義に基づいてインスタンスが生成される。,一つのインスタンスに対して，複数のクラスが対応する。,一つのクラスに対して，インスタンスはただ一つ存在する。,2,基本情報技術者平成30年秋期 午前問47,https://www.fe-siken.com/kakomon/30_aki/q47.html
モジュール間の情報の受渡しがパラメタだけで行われる，結合度が最も弱いモジュール結合はどれか。,ソフトウェア方式設計・詳細設計,共通結合,制御結合,データ結合,内容結合,3,基本情報技術者平成30年秋期 午前問48,https://www.fe-siken.com/kakomon/30_aki/q48.html
"オブジェクト指向における""委譲""に関する説明として，適切なものはどれか。",ソフトウェア方式設計・詳細設計,あるオブジェクトに対して操作を適用したとき，関連するオブジェクトに対してもその操作が自動的に適用される仕組み,あるオブジェクトに対する操作をその内部で他のオブジェクトに依頼する仕組み,下位のクラスが上位のクラスの属性や操作を引き継ぐ仕組み,複数のオブジェクトを部分として用いて，新たな一つのオブジェクトを生成する仕組み,2,基本情報技術者平成30年秋期 午前問49,https://www.fe-siken.com/kakomon/30_aki/q49.html
XP(Extreme Programming)のプラクティスの説明のうち，適切なものはどれか。,開発プロセス・手法,顧客は単体テストの仕様に責任をもつ。,コードの結合とテストを継続的に繰り返す。,コードを作成して結合できることを確認した後，テストケースを作成する。,テストを通過したコードは，次のイテレーションまでリファクタリングしない。,2,基本情報技術者平成30年秋期 午前問50,https://www.fe-siken.com/kakomon/30_aki/q50.html
ソフトウェア開発プロジェクトにおいてWBS(Work Breakdown Structure)を使用する目的として，適切なものはどれか。,プロジェクトのスコープ,開発の期間と費用がトレードオフの関係にある場合に，総費用の最適化を図る。,作業の順序関係を明確にして，重点管理すべきクリティカルパスを把握する。,作業の日程を横棒(バー)で表して，作業の開始や終了時点，現時点の進捗を明確にする。,作業を階層的に詳細化して，管理可能な大きさに細分化する。,4,基本情報技術者平成30年秋期 午前問51,https://www.fe-siken.com/kakomon/30_aki/q51.html
図のプロジェクトの日程計画において，プロジェクトの所要日数は何日か。,プロジェクトの時間,40,45,50,55,4,基本情報技術者平成30年秋期 午前問52,https://www.fe-siken.com/kakomon/30_aki/q52.html
表は，1人で行うプログラム開発の開始時点での計画表である。6月1日に開発を開始し，6月11日の終了時点でコーディング作業の25%が終了した。6月11日の終了時点で残っている作業量は全体の約何%か。ここで，開発は，土曜日と日曜日を除く週5日間で行うものとする。,プロジェクトの時間,30,47,52,53,2,基本情報技術者平成30年秋期 午前問53,https://www.fe-siken.com/kakomon/30_aki/q53.html
ある新規システムの機能規模を見積もったところ，500FP(ファンクションポイント)であった。このシステムを構築するプロジェクトには，開発工数のほかに，システム導入と開発者教育の工数が，合計で10人月必要である。また，プロジェクト管理に，開発と導入・教育を合わせた工数の10%を要する。このプロジェクトに要する全工数は何人月か。ここで，開発の生産性は1人月当たり10FPとする。,プロジェクトのコスト,51,60,65,66,4,基本情報技術者平成30年秋期 午前問54,https://www.fe-siken.com/kakomon/30_aki/q54.html
キャパシティ管理における将来のコンポーネント，並びにサービスの容量・能力及びパフォーマンスを予想する活動のうち，傾向分析はどれか。,サービスマネジメントプロセス,特定の資源の利用状況を時系列に把握して，将来における利用の変化を予測する。,待ち行列理論などの数学的技法を利用して，サービスの応答時間及びスループットを予測する。,模擬的にトランザクションを発生させて，サービスの応答時間及びスループットを予測する。,モデル化の第一段階として，現在達成されているパフォーマンスを正確に反映したモデルを作成する。,1,基本情報技術者平成30年秋期 午前問55,https://www.fe-siken.com/kakomon/30_aki/q55.html
システム障害が発生したときにシステムを初期状態に戻して再開する方法であり，更新前コピー又は更新後コピーの前処理を伴わないシステム開始のことであって，初期プログラムロードとも呼ばれるものはどれか。,サービスの運用,ウォームスタート,コールドスタート,ロ−ルバック,ロールフォワード,2,基本情報技術者平成30年秋期 午前問56,https://www.fe-siken.com/kakomon/30_aki/q56.html
次の条件でITサービスを提供している。SLAを満たすことのできる，1か月のサービス時間帯中の停止時間は最大何時間か。ここで，1か月の営業日数は30日とし、サービス時間帯中は，保守などのサービス計画停止は行わないものとする。〔SLAの条件〕サービス時間帯は，営業日の午前8時から午後10時までとする。可用性を99.5%以上とする。,サービスマネジメント,0.3,2.1,3.0,3.6,2,基本情報技術者平成30年秋期 午前問57,https://www.fe-siken.com/kakomon/30_aki/q57.html
JIS Q 27001:2014(情報セキュリティマネジメントシステム−要求事項)に基づいてISMS内部監査を行った結果として判明した状況のうち，監査人が指摘事項として監査報告書に記載すべきものはどれか。,システム監査,USBメモリの使用を，定められた手順に従って許可していた。,個人情報の誤廃棄事故を主務官庁などに，規定されたとおりに報告していた。,マルウェアスキャンでスパイウェアが検知され，駆除されていた。,リスクアセスメントを実施した後に，リスク受容基準を決めた。,4,基本情報技術者平成30年秋期 午前問58,https://www.fe-siken.com/kakomon/30_aki/q58.html
外部保管のために専門業者にバックアップ媒体を引き渡す際の安全性について，セキュリティ監査を実施した。その結果として判明した状況のうち，監査人が指摘事項として監査報告書に記載すべきものはどれか。,システム監査,委託元責任者が，一定期間ごとに，専門業者における媒体保管状況を確認する契約を結んだ上で引き渡している。,委託元責任者が，専門業者との間で，機密保持条項を盛り込んだ業務委託契約を結んだ上で引き渡している。,委託元担当者が，専用の記録簿に，引渡しの都度，日付と内容を記入し，専門業者から受領印をもらっている。,委託元担当者が，バックアップ媒体を段ボール箱に入れ，それを専門業者に引き渡している。,4,基本情報技術者平成30年秋期 午前問59,https://www.fe-siken.com/kakomon/30_aki/q59.html
我が国の証券取引所に上場している企業において，内部統制の整備及び運用に最終的な責任を負っている者は誰か。,内部統制,株主,監査役,業務担当者,経営者,4,基本情報技術者平成30年秋期 午前問60,https://www.fe-siken.com/kakomon/30_aki/q60.html
IT投資評価を，個別プロジェクトの計画，実施，完了に応じて，事前評価，中間評価，事後評価を行う。事前評価について説明したものはどれか。,情報システム戦略,計画と実績との差異及び原因を詳細に分析し，投資額や効果目標の変更が必要かどうかを判断する。,事前に設定した効果目標の達成状況を評価し，必要に応じて目標を達成するための改善策を検討する。,投資効果の実現時期と評価に必要なデータ収集方法を事前に計画し，その時期に合わせて評価を行う。,投資目的に基づいた効果目標を設定し，実施可否判断に必要な情報を上位マネジメントに提供する。,4,基本情報技術者平成30年秋期 午前問61,https://www.fe-siken.com/kakomon/30_aki/q61.html
BPOを説明したものはどれか。,業務プロセス,自社ではサーバを所有せずに，通信事業者などが保有するサーバの処理能力や記憶容量の一部を借りてシステムを運用することである。,自社ではソフトウェアを所有せずに，外部の専門業者が提供するソフトウェアの機能をネットワーク経由で活用することである。,自社の管理部門やコールセンタなど特定部門の業務プロセス全般を，業務システムの運用などと一体として外部の専門業者に委託することである。,自社よりも人件費の安い派遣会社の社員を活用することによって，ソフトウェア開発の費用を低減させることである。,3,基本情報技術者平成30年秋期 午前問62,https://www.fe-siken.com/kakomon/30_aki/q62.html
SOAを説明したものはどれか。,ソリューションビジネス,業務体系，データ体系，適用処理体系，技術体系の四つの主要概念から構成され，業務とシステムの最適化を図る。,サービスというコンポーネントからソフトウェアを構築することによって，ビジネス変化に対応しやすくする。,データフローダイアグラムを用い，情報に関するモデルと機能に関するモデルを同時に作成する。,連接，選択，反復の三つの論理構造の組合せで，コンポーネントレベルの設計を行う。,2,基本情報技術者平成30年秋期 午前問63,https://www.fe-siken.com/kakomon/30_aki/q63.html
システム化計画の立案において実施すべき事項はどれか。,システム化計画,画面や帳票などのインタフェースを決定し，設計書に記載するために，要件定義書を基に作業する。,システム構築の組織体制を策定するとき，業務部門，情報システム部門の役割分担を明確にし，費用の検討においては開発，運用及び保守の費用の算出基礎を明確にしておく。,システムの起動・終了，監視，ファイルメンテナンスなどを計画的に行い，業務が円滑に遂行していることを確認する。,システムを業務及び環境に適合するように維持管理を行い，修正依頼が発生した場合は，その内容を分析し，影響を明らかにする。,2,基本情報技術者平成30年秋期 午前問64,https://www.fe-siken.com/kakomon/30_aki/q64.html
企画，要件定義，システム開発，ソフトウェア実装，ハードウェア実装，保守から成る一連のプロセスにおいて，要件定義プロセスで実施すべきものはどれか。,要件定義,システムに関わり合いをもつ利害関係者の種類を識別し，利害関係者のニーズ，要望及び課せられる制約条件を識別する。,事業の目的，目標を達成するために必要なシステム化の方針，及びシステムを実現するための実施計画を立案する。,目的とするシステムを得るために，システムの機能及び能力を定義し，システム方式設計によってハードウェア，ソフトウェアなどによる実現方式を確立する。,利害関係者の要件を満足するソフトウェア製品又はソフトウェアサービスを得るための，方式設計と適格性の確認を実施する。,1,基本情報技術者平成30年秋期 午前問65,https://www.fe-siken.com/kakomon/30_aki/q65.html
図に示す手順で情報システムを調達するとき，bに入れるものはどれか。,調達計画・実施,RFI,RFP,供給者の選定,契約の締結,2,基本情報技術者平成30年秋期 午前問66,https://www.fe-siken.com/kakomon/30_aki/q66.html
プロダクトライフサイクルにおける成長期の特徴はどれか。,マーケティング,市場が製品の価値を理解し始める。製品ラインもチャネルも拡大しなければならない。この時期は売上も伸びるが，投資も必要である。,需要が大きくなり，製品の差別化や市場の細分化が明確になってくる。競争者間の競争も激化し，新品種の追加やコストダウンが重要となる。,需要が減ってきて，撤退する企業も出てくる。この時期の強者になれるかどうかを判断し，代替市場への進出なども考える。,需要は部分的で，新規需要開拓が勝負である。特定ターゲットに対する信念に満ちた説得が必要である。,1,基本情報技術者平成30年秋期 午前問67,https://www.fe-siken.com/kakomon/30_aki/q67.html
