question,filed,choice1,choice2,choice3,choice4,answer,title,url
2台の処理装置から成るシステムがある。少なくともいずれか一方が正常に動作すればよいときの稼働率と，2台とも正常に動作しなければならないときの稼働率の差は幾らか。ここで，処理装置の稼働率はいずれも0.9とし，処理装置以外の要因は考慮しないものとする。,システムの評価指標,0.09,0.10,0.18,0.19,3,基本情報技術者令和元年秋期 午前問16,https://www.fe-siken.com/kakomon/01_aki/q16.html
図の送信タスクから受信タスクにT秒間連続してデータを送信する。1秒当たりの送信量をS，1秒当たりの受信量をRとしたとき，バッファがオーバフローしないバッファサイズLを表す関係式として適切なものはどれか。ここで，受信タスクよりも送信タスクの方が転送速度は速く，次の転送開始までの時間間隔は十分にあるものとする。,オペレーティングシステム,L＜(R−S)×T,L＜(S−R)×T,L≧(R−S)×T,L≧(S−R)×T,4,基本情報技術者令和元年秋期 午前問17,https://www.fe-siken.com/kakomon/01_aki/q17.html
優先度に基づくプリエンプティブなスケジューリングを行うリアルタイムOSで，二つのタスクA，Bをスケジューリングする。Aの方がBより優先度が高い場合にリアルタイムOSが行う動作のうち，適切なものはどれか。,オペレーティングシステム,Aの実行中にBに起動がかかると，Aを実行可能状態にしてBを実行する。,Aの実行中にBに起動がかかると，Aを待ち状態にしてBを実行する。,Bの実行中にAに起動がかかると，Bを実行可能状態にしてAを実行する。,Bの実行中にAに起動がかかると，Bを待ち状態にしてAを実行する。,3,基本情報技術者令和元年秋期 午前問18,https://www.fe-siken.com/kakomon/01_aki/q18.html
バックアップ方式の説明のうち，増分バックアップはどれか。ここで，最初のバックアップでは，全てのファイルのバックアップを取得し，OSが管理しているファイル更新を示す情報はリセットされるものとする。,ファイルシステム,最初のバックアップの後，ファイル更新を示す情報があるファイルだけをバックアップし，ファイル更新を示す情報は変更しないでそのまま残しておく。,最初のバックアップの後，ファイル更新を示す情報にかかわらず，全てのファイルをバックアップし，ファイル更新を示す情報はリセットする。,直前に行ったバックアップの後，ファイル更新を示す情報があるファイルだけをバックアップし，ファイル更新を示す情報はリセットする。,直前に行ったバックアップの後，ファイル更新を示す情報にかかわらず，全てのファイルをバックアップし，ファイル更新を示す情報は変更しないでそのまま残しておく。,3,基本情報技術者令和元年秋期 午前問19,https://www.fe-siken.com/kakomon/01_aki/q19.html
DRAMの特徴はどれか。,メモリ,書込み及び消去を一括又はブロック単位で行う。,データを保持するためのリフレッシュ操作又はアクセス操作が不要である。,電源が遮断された状態でも，記憶した情報を保持することができる。,メモリセル構造が単純なので高集積化することができ，ビット単価を安くできる。,4,基本情報技術者令和元年秋期 午前問20,https://www.fe-siken.com/kakomon/01_aki/q20.html
クロックの立上りエッジで，8ビットのシリアル入力パラレル出力シフトレジスタの内容を上位方向ヘシフトすると同時に正論理のデータをレジスタの最下位ビットに取り込む。また，ストローブの立上りエッジで値を確定する。各信号の波形を観測した結果が図のとおりであるとき，確定後のシフトレジスタの値はどれか。ここで，数値は16進数で表記している。,ハードウェア,63,8D,B1,C6,2,基本情報技術者令和元年秋期 午前問21,https://www.fe-siken.com/kakomon/01_aki/q21.html
コードから商品の内容が容易に分かるようにしたいとき，どのコード体系を選択するのが適切か。,インタフェース設計,区分コード,桁別コード,表意コード,連番コード,3,基本情報技術者令和元年秋期 午前問23,https://www.fe-siken.com/kakomon/01_aki/q23.html
H.264/MPEG-4 AVCの説明として，適切なものはどれか。,マルチメディア技術,5.1チャンネルサラウンドシステムで使用されている音声圧縮技術,携帯電話で使用されている音声圧縮技術,ディジタルカメラで使用されている静止画圧縮技術,ワンセグ放送で使用されている動画圧縮技術,4,基本情報技術者令和元年秋期 午前問24,https://www.fe-siken.com/kakomon/01_aki/q24.html
UMLを用いて表した図の概念データモデルの解釈として，適切なものはどれか。,データベース設計,従業員の総数と部署の総数は一致する。,従業員は，同時に複数の部署に所属してもよい。,従業員が所属していない部署の存在は許されない。,どの部署にも所属していない従業員が存在してもよい。,2,基本情報技術者令和元年秋期 午前問25,https://www.fe-siken.com/kakomon/01_aki/q25.html
"""得点""表から，学生ごとに全科目の点数の平均を算出し，平均が80点以上の学生の学生番号とその平均点を求める。aに入れる適切な字句はどれか。ここで，実線の下線は主キーを表す。
得点（学生番号，科目，点数）〔SQL文〕SELECT 学生番号，AVG(点数)FROM 得点GROUP BY a",データ操作,科目 HAVING AVG(点数) >= 80,科目 WHERE 点数 >= 80,学生番号 HAVING AVG(点数) >= 80,学生番号 WHERE 点数 >= 80,3,基本情報技術者令和元年秋期 午前問26,https://www.fe-siken.com/kakomon/01_aki/q26.html
関係モデルにおいて，関係から特定の属性だけを取り出す演算はどれか。,データ操作,結合(join),射影(projection),選択(selection),和(union),2,基本情報技術者令和元年秋期 午前問27,https://www.fe-siken.com/kakomon/01_aki/q27.html
10Mビット／秒の回線で接続された端末間で，平均1Mバイトのファイルを，10秒ごとに転送するときの回線利用率は何%か。ここで，ファイル転送時には，転送量の20%が制御情報として付加されるものとし，1Mビット＝106ビットとする。,ネットワーク方式,1.2,6.4,8.0,9.6,4,基本情報技術者令和元年秋期 午前問30,https://www.fe-siken.com/kakomon/01_aki/q30.html
CSMA/CD方式のLANに接続されたノードの送信動作に関する記述として，適切なものはどれか。,データ通信と制御,各ノードに論理的な順位付けを行い，送信権を順次受け渡し，これを受け取ったノードだけが送信を行う。,各ノードは伝送媒体が使用中かどうかを調べ，使用中でなければ送信を行う。衝突を検出したらランダムな時間の経過後に再度送信を行う。,各ノードを環状に接続して，送信権を制御するための特殊なフレームを巡回させ，これを受け取ったノードだけが送信を行う。,タイムスロットを割り当てられたノードだけが送信を行う。,2,基本情報技術者令和元年秋期 午前問31,https://www.fe-siken.com/kakomon/01_aki/q31.html
メディアコンバータ，リピータハブ，レイヤ2スイッチ，レイヤ3スイッチのうち，レイヤ3スイッチだけがもつ機能はどれか。,データ通信と制御,データリンク層において，宛先アドレスに従って適切なLANポートにパケットを中継する機能,ネットワーク層において，宛先アドレスに従って適切なLANポートにパケットを中継する機能,物理層において，異なる伝送媒体を接続し，信号を相互に変換する機能,物理層において，入力信号を全てのLANポートに対して中継する機能,2,基本情報技術者令和元年秋期 午前問32,https://www.fe-siken.com/kakomon/01_aki/q32.html
LANに接続されている複数のPCをインターネットに接続するシステムがあり，装置AのWAN側インタフェースには1個のグローバルIPアドレスが割り当てられている。この1個のグローバルIPアドレスを使って複数のPCがインターネットを利用するのに必要となる装置Aの機能はどれか。,ネットワーク方式,DHCP,NAPT(IPマスカレード),PPPoE,パケットフィルタリング,2,基本情報技術者令和元年秋期 午前問33,https://www.fe-siken.com/kakomon/01_aki/q33.html
クライアントAがポート番号8080のHTTPプロキシサーバBを経由してポート番号80のWebサーバCにアクセスしているとき，宛先ポート番号が常に8080になるTCPパケットはどれか。,通信プロトコル,AからBへのHTTP要求及びCからBへのHTTP応答,AからBへのHTTP要求だけ,BからAへのHTTP応答だけ,BからCへのHTTP要求及びCからBへのHTTP応答,2,基本情報技術者令和元年秋期 午前問34,https://www.fe-siken.com/kakomon/01_aki/q34.html
攻撃者が用意したサーバXのIPアドレスが，A社WebサーバのFQDNに対応するIPアドレスとして，B社DNSキャッシュサーバに記憶された。これによって，意図せずサーバXに誘導されてしまう利用者はどれか。ここで，A社，B社の各従業員は自社のDNSキャッシュサーバを利用して名前解決を行う。,情報セキュリティ,A社WebサーバにアクセスしようとするA社従業員,A社WebサーバにアクセスしようとするB社従業員,B社WebサーバにアクセスしようとするA社従業員,B社WebサーバにアクセスしようとするB社従業員,2,基本情報技術者令和元年秋期 午前問35,https://www.fe-siken.com/kakomon/01_aki/q35.html
マルウェアの動的解析に該当するものはどれか。,情報セキュリティ対策,検体のハッシュ値を計算し，オンラインデータベースに登録された既知のマルウェアのハッシュ値のリストと照合してマルウェアを特定する。,検体をサンドボックス上で実行し，その動作や外部との通信を観測する。,検体をネットワーク上の通信データから抽出し，さらに，逆コンパイルして取得したコードから検体の機能を調べる。,ハードディスク内のファイルの拡張子とファイルヘッダの内容を基に，拡張子が偽装された不正なプログラムファイルを検出する。,2,基本情報技術者令和元年秋期 午前問36,https://www.fe-siken.com/kakomon/01_aki/q36.html
WPA3はどれか。,セキュリティ実装技術,HTTP通信の暗号化規格,TCP/IP通信の暗号化規格,Webサーバで使用するディジタル証明書の規格,無線LANのセキュリティ規格,4,基本情報技術者令和元年秋期 午前問37,https://www.fe-siken.com/kakomon/01_aki/q37.html
メッセージにRSA方式のディジタル署名を付与して2者間で送受信する。そのときのディジタル署名の検証鍵と使用方法はどれか。,情報セキュリティ,受信者の公開鍵であり，送信者がメッセージダイジェストからディジタル署名を作成する際に使用する。,受信者の秘密鍵であり，受信者がディジタル署名からメッセージダイジェストを算出する際に使用する。,送信者の公開鍵であり，受信者がディジタル署名からメッセージダイジェストを算出する際に使用する。,送信者の秘密鍵であり，送信者がメッセージダイジェストからディジタル署名を作成する際に使用する。,3,基本情報技術者令和元年秋期 午前問38,https://www.fe-siken.com/kakomon/01_aki/q38.html
情報セキュリティにおいてバックドアに該当するものはどれか。,情報セキュリティ,アクセスする際にパスワード認証などの正規の手続が必要なWebサイトに，当該手続を経ないでアクセス可能なURL,インターネットに公開されているサーバのTCPポートの中からアクティブになっているポートを探して，稼働中のサービスを特定するためのツール,ネットワーク上の通信パケットを取得して通信内容を見るために設けられたスイッチのLANポート,プログラムが確保するメモリ領域に，領域の大きさを超える長さの文字列を入力してあふれさせ，ダウンさせる攻撃,1,基本情報技術者令和元年秋期 午前問39,https://www.fe-siken.com/kakomon/01_aki/q39.html
ファイルの提供者は，ファイルの作成者が作成したファイルAを受け取り，ファイルAと，ファイルAにSHA-256を適用して算出した値Bとを利用者に送信する。そのとき，利用者が情報セキュリティ上実現できることはどれか。ここで，利用者が受信した値Bはファイルの提供者から事前に電話で直接伝えられた値と同じであり，改ざんされていないことが確認できているものとする。,情報セキュリティ,値BにSHA-256を適用して値Bからディジタル署名を算出し，そのディジタル署名を検証することによって，ファイルAの作成者を確認できる。,値BにSHA-256を適用して値Bからディジタル署名を算出し，そのディジタル署名を検証することによって，ファイルAの提供者がファイルAの作成者であるかどうかを確認できる。,ファイルAにSHA-256を適用して値を算出し，その値と値Bを比較することによって，ファイルAの内容が改ざんされていないかどうかを検証できる。,ファイルAの内容が改ざんされていても，ファイルAにSHA-256を適用して値を算出し，その値と値Bの差分を確認することによって，ファイルAの内容のうち改ざんされている部分を修復できる。,3,基本情報技術者令和元年秋期 午前問40,https://www.fe-siken.com/kakomon/01_aki/q40.html
検索サイトの検索結果の上位に悪意のあるサイトが表示されるように細工する攻撃の名称はどれか。,情報セキュリティ,DNSキャッシュポイズニング,SEOポイズニング,クロスサイトスクリプティング,ソーシャルエンジニアリング,2,基本情報技術者令和元年秋期 午前問41,https://www.fe-siken.com/kakomon/01_aki/q41.html
1台のファイアウォールによって，外部セグメント，DMZ，内部セグメントの三つのセグメントに分割されたネットワークがあり，このネットワークにおいて，Webサーバと，重要なデータをもつデータベースサーバから成るシステムを使って，利用者向けのWebサービスをインターネットに公開する。インターネットからの不正アクセスから重要なデータを保護するためのサーバの設置方法のうち，最も適切なものはどれか。ここで，Webサーバでは，データベースサーバのフロントエンド処理を行い，ファイアウォールでは，外部セグメントとDMZとの間，及びDMZと内部セグメントとの間の通信は特定のプロトコルだけを許可し，外部セグメントと内部セグメントとの間の直接の通信は許可しないものとする。,情報セキュリティ対策,WebサーバとデータベースサーバをDMZに設置する。,Webサーバとデータベースサーバを内部セグメントに設置する。,WebサーバをDMZに，データベースサーバを内部セグメントに設置する。,Webサーバを外部セグメントに，データベースサーバをDMZに設置する。,3,基本情報技術者令和元年秋期 午前問42,https://www.fe-siken.com/kakomon/01_aki/q42.html
SIEM(Security Information and Event Management)の機能はどれか。,情報セキュリティ対策,隔離された仮想環境でファイルを実行して，C&Cサーバへの通信などの振る舞いを監視する。,様々な機器から集められたログを総合的に分析し，管理者による分析と対応を支援する。,ネットワーク上の様々な通信機器を集中的に制御し，ネットワーク構成やセキュリティ設定などを変更する。,パケットのヘッダ情報の検査だけではなく，通信先のアプリケーショプログラムを識別して通信を制御する。,2,基本情報技術者令和元年秋期 午前問43,https://www.fe-siken.com/kakomon/01_aki/q43.html
電子メールをドメインAの送信者がドメインBの宛先に送信するとき，送信者をドメインAのメールサーバで認証するためのものはどれか。,セキュリティ実装技術,APOP,POP3S,S/MIME,SMTP-AUTH,4,基本情報技術者令和元年秋期 午前問44,https://www.fe-siken.com/kakomon/01_aki/q44.html
"図は構造化分析法で用いられるDFDの例である。図中の""○""が表しているものはどれか。",ソフトウェア要件定義,アクティビティ,データストア,データフロー,プロセス,4,基本情報技術者令和元年秋期 午前問45,https://www.fe-siken.com/kakomon/01_aki/q45.html
モジュール結合度が最も弱くなるものはどれか。,ソフトウェア方式設計・詳細設計,一つのモジュールで，できるだけ多くの機能を実現する。,二つのモジュール間で必要なデータ項目だけを引数として渡す。,他のモジュールとデータ項目を共有するためにグローバルな領域を使用する。,他のモジュールを呼び出すときに，呼び出されたモジュールの論理を制御するための引数を渡す。,2,基本情報技術者令和元年秋期 午前問46,https://www.fe-siken.com/kakomon/01_aki/q46.html
エラー埋込法において，埋め込まれたエラー数をS，埋め込まれたエラーのうち発見されたエラー数をm，埋め込まれたエラーを含まないテスト開始前の潜在エラー数をT，発見された総エラー数をnとしたとき，S，T，m，nの関係を表す式はどれか。,ソフトウェア構築, \(\dfrac{m}{S} = \dfrac{n-m}{T}\) , \(\dfrac{m}{S} = \dfrac{T}{n-m}\) , \(\dfrac{m}{S} = \dfrac{n}{T}\) , \(\dfrac{m}{S} = \dfrac{T}{n}\) ,1,基本情報技術者令和元年秋期 午前問47,https://www.fe-siken.com/kakomon/01_aki/q47.html
テストで使用されるドライバ又はスタブの説明のうち，適切なものはどれか。,ソフトウェア結合・適格性テスト,スタブは，テスト対象のモジュールからの戻り値の表示・印刷を行う。,スタブは，テスト対象モジュールを呼び出すモジュールである。,ドライバは，テスト対象モジュールから呼び出されるモジュールである。,ドライバは，引数を渡してテスト対象モジュールを呼び出す。,4,基本情報技術者令和元年秋期 午前問48,https://www.fe-siken.com/kakomon/01_aki/q48.html
単一の入り口をもち，入力項目を用いた複数の判断を含むプログラムのテストケースを設計する。命令網羅と判定条件網羅の関係のうち，適切なものはどれか。,ソフトウェア構築,判定条件網羅を満足しても命令網羅を満足しない場合がある。,判定条件網羅を満足するならば，命令網羅も満足する。,命令網羅を満足しなくても，判定条件網羅を満足する場合がある。,命令網羅を満足するならば，判定条件網羅も満足する。,2,基本情報技術者令和元年秋期 午前問49,https://www.fe-siken.com/kakomon/01_aki/q49.html
XP(eXtreme Programming)において，プラクティスとして提唱されているものはどれか。,開発プロセス・手法,インスペクション,構造化設計,ペアプログラミング,ユースケースの活用,3,基本情報技術者令和元年秋期 午前問50,https://www.fe-siken.com/kakomon/01_aki/q50.html
"二つのアクティビティが次の関係にあるとき，論理的な依存関係はどれか。""システム要件定義プロセス""が完了すれば，""システム方式設計プロセス""が開始できる。",プロジェクトの時間,FF関係(Finish-to-Finish),FS関係(Finish-to-Start),SF関係(Start-to-Finish),SS関係(Start-to-Start),2,基本情報技術者令和元年秋期 午前問51,https://www.fe-siken.com/kakomon/01_aki/q51.html
あるプロジェクトの日程計画をアローダイアグラムで示す。クリティカルパスはどれか。,プロジェクトの時間,A，C，E，F,A，D，G,B，E，F,B，E，G,3,基本情報技術者令和元年秋期 午前問52,https://www.fe-siken.com/kakomon/01_aki/q52.html
ソフトウェア開発の見積方法の一つであるファンクションポイント法の説明として，適切なものはどれか。,プロジェクトのコスト,開発規模が分かっていることを前提として，工数と工期を見積もる方法である。ビジネス分野に限らず，全分野に適用可能である。,過去に経験した類似のソフトウェアについてのデータを基にして，ソフトウェアの相違点を調べ，同じ部分については過去のデータを使い，異なった部分は経験に基づいて，規模と工数を見積もる方法である。,ソフトウェアの機能を入出力データ数やファイル数などによって定量的に計測し，複雑さによる調整を行って，ソフトウェア規模を見積もる方法である。,単位作業項目に適用する作業量の基準値を決めておき，作業項目を単位作業項目まで分解し，基準値を適用して算出した作業量の積算で全体の作業量を見積もる方法である。,3,基本情報技術者令和元年秋期 午前問53,https://www.fe-siken.com/kakomon/01_aki/q53.html
10人のメンバで構成されているプロジェクトチームにメンバ2人を増員する。次の条件でメンバ同士が打合せを行う場合，打合せの回数は何回増えるか。〔条件〕打合せは1対1で行う。各メンバが，他の全てのメンバと1回ずつ打合せを行う。,プロジェクトのコミュニケーション,12,21,22,42,2,基本情報技術者令和元年秋期 午前問54,https://www.fe-siken.com/kakomon/01_aki/q54.html
サービスマネジメントシステムにPDCA方法論を適用するとき，Actに該当するものはどれか。,サービスマネジメント,サービスの設計，移行，提供及び改善のためにサービスマネジメントシステムを導入し，運用する。,サービスマネジメントシステム及びサービスのパフォーマンスを継続的に改善するための処置を実施する。,サービスマネジメントシステムを確立し，文書化し，合意する。,方針，目的，計画及びサービスの要求事項について，サービスマネジメントシステム及びサービスを監視，測定及びレビューし，それらの結果を報告する。,2,基本情報技術者令和元年秋期 午前問55,https://www.fe-siken.com/kakomon/01_aki/q55.html
システムの移行計画に関する記述のうち，適切なものはどれか。,サービスの設計・移行,移行計画書には，移行作業が失敗した場合に旧システムに戻す際の判断基準が必要である。,移行するデータ量が多いほど，切替え直前に一括してデータの移行作業を実施すべきである。,新旧両システムで環境の一部を共有することによって，移行の確認が容易になる。,新旧両システムを並行運用することによって，移行に必要な費用が低減できる。,1,基本情報技術者令和元年秋期 午前問56,https://www.fe-siken.com/kakomon/01_aki/q56.html
事業継続計画で用いられる用語であり，インシデントの発生後，次のいずれかの事項までに要する時間を表すものはどれか。製品又はサービスが再開される。事業活動が再開される。資源が復旧される。,サービスマネジメントプロセス,MTBF,MTTR,RPO,RTO,4,基本情報技術者令和元年秋期 午前問57,https://www.fe-siken.com/kakomon/01_aki/q57.html
システムテストの監査におけるチェックポイントのうち，適切なものはどれか。,システム監査,テストケースが網羅的に想定されていること,テスト計画は利用者側の責任者だけで承認されていること,テストは実際に業務が行われている環境で実施されていること,テストは利用者側の担当者だけで行われていること,1,基本情報技術者令和元年秋期 午前問58,https://www.fe-siken.com/kakomon/01_aki/q58.html
情報システム部が開発して経理部が運用している会計システムの運用状況を，経営者からの指示で監査することになった。この場合におけるシステム監査人についての記述のうち，最も適切なものはどれか。,システム監査,会計システムは企業会計に関する各種基準に準拠すべきなので，システム監査人を公認会計士とする。,会計システムは機密性の高い情報を扱うので，システム監査人は経理部長直属とする。,システム監査を効率的に行うために，システム監査人は情報システム部長直属とする。,独立性を担保するために，システム監査人は情報システム部にも経理部にも所属しない者とする。,4,基本情報技術者令和元年秋期 午前問59,https://www.fe-siken.com/kakomon/01_aki/q59.html
アクセス制御を監査するシステム監査人の行為のうち，適切なものはどれか。,システム監査,ソフトウェアに関するアクセス制御の管理台帳を作成し，保管した。,データに関するアクセス制御の管理規程を閲覧した。,ネットワークに関するアクセス制御の管理方針を制定した。,ハードウェアに関するアクセス制御の運用手続を実施した。,2,基本情報技術者令和元年秋期 午前問60,https://www.fe-siken.com/kakomon/01_aki/q60.html
情報化投資において，リスクや投資価値の類似性でカテゴリ分けし，最適な資源配分を行う際に用いる手法はどれか。,情報システム戦略,3C分析,ITポートフォリオ,エンタープライズアーキテクチャ,ベンチマーキング,2,基本情報技術者令和元年秋期 午前問61,https://www.fe-siken.com/kakomon/01_aki/q61.html
自社の経営課題である人手不足の解消などを目標とした業務革新を進めるために活用する，RPAの事例はどれか。,業務プロセス,業務システムなどのデータ入力，照合のような標準化された定型作業を，事務職員の代わりにソフトウェアで自動的に処理する。,製造ラインで部品の組立てに従事していた作業員の代わりに組立作業用ロボットを配置する。,人が接客して販売を行っていた店舗を，ICタグ，画像解析のためのカメラ，電子決済システムによる無人店舗に置き換える。,フォークリフトなどを用いて人の操作で保管商品を搬入・搬出していたものを，コンピュータ制御で無人化した自動倉庫システムに置き換える。,1,基本情報技術者令和元年秋期 午前問62,https://www.fe-siken.com/kakomon/01_aki/q62.html
企業がマーケティング活動に活用するビッグデータの特徴に沿った取扱いとして，適切なものはどれか。,システム活用促進・評価,ソーシャルメディアで個人が発信する商品のクレーム情報などの，不特定多数によるデータは処理の対象にすべきではない。,蓄積した静的なデータだけでなく，Webサイトのアクセス履歴などリアルタイム性の高いデータも含めて処理の対象とする。,データ全体から無作為にデータをサンプリングして，それらを分析することによって全体の傾向を推し量る。,データの正規化が難しい非構造化データである音声データや画像データは，処理の対象にすべきではない。,2,基本情報技術者令和元年秋期 午前問63,https://www.fe-siken.com/kakomon/01_aki/q63.html
システム開発の上流工程において，システム稼働後に発生する可能性がある個人情報の漏えいや目的外利用などのリスクに対する予防的な機能を検討し，その機能をシステムに組み込むものはどれか。,要件定義,情報セキュリティ方針,セキュリティレベル,プライバシーバイデザイン,プライバシーマーク,3,基本情報技術者令和元年秋期 午前問64,https://www.fe-siken.com/kakomon/01_aki/q64.html
非機能要件の定義で行う作業はどれか。,要件定義,業務を構成する機能間の情報(データ)の流れを明確にする。,システム開発で用いるプログラム言語に合わせた開発基準，標準の技術要件を作成する。,システム機能として実現する範囲を定義する。,他システムとの情報授受などのインタフェースを明確にする。,2,基本情報技術者令和元年秋期 午前問65,https://www.fe-siken.com/kakomon/01_aki/q65.html
リレーションシップマーケティングの説明はどれか。,マーケティング,顧客との良好な関係を維持することで個々の顧客から長期間にわたって安定した売上を獲得することを目指すマーケティング手法,数時間から数日間程度の短期間の時間制限を設け，その時間内だけネット上で商品を販売するマーケティング手法,スマートフォンのGPS機能を利用し，現在地に近い店舗の広告を配信するマーケティング手法,テレビ，新聞，雑誌などの複数のメディアを併用し，消費者への多角的なアプローチを目指すマーケティング手法,1,基本情報技術者令和元年秋期 午前問66,https://www.fe-siken.com/kakomon/01_aki/q66.html
バランススコアカードの内部ビジネスプロセスの視点における戦略目標と業績評価指標の例はどれか。,ビジネス戦略と目標・評価,持続的成長が目標であるので，受注残を指標とする。,主要顧客との継続的な関係構築が目標であるので，クレーム件数を指標とする。,製品開発力の向上が目標であるので，製品開発領域の研修受講時間を指標とする。,製品の製造の生産性向上が目標であるので，製造期間短縮日数を指標とする。,4,基本情報技術者令和元年秋期 午前問67,https://www.fe-siken.com/kakomon/01_aki/q67.html
技術経営におけるプロダクトイノベーションの説明として，適切なものはどれか。,技術開発戦略の立案,新たな商品や他社との差別化ができる商品を開発すること,技術開発の成果によって事業利益を獲得すること,技術を核とするビジネスを戦略的にマネジメントすること,業務プロセスにおいて革新的な改革をすること,1,基本情報技術者令和元年秋期 午前問68,https://www.fe-siken.com/kakomon/01_aki/q68.html
ディジタルディバイドを説明したものはどれか。,システム活用促進・評価,PCなどの情報通信機器の利用方法が分からなかったり，情報通信機器を所有していなかったりして，情報の入手が困難な人々のことである。,高齢者や障害者の情報通信の利用面での困難が，社会的又は経済的な格差につながらないように，誰もが情報通信を利活用できるように整備された環境のことである。,情報通信機器やソフトウェア，情報サービスなどを，高齢者・障害者を含む全ての人が利用可能であるか，利用しやすくなっているかの度合いのことである。,情報リテラシの有無やITの利用環境の相違などによって生じる，社会的又は経済的な格差のことである。,4,基本情報技術者令和元年秋期 午前問69,https://www.fe-siken.com/kakomon/01_aki/q69.html
